date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:17	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:27%20GMT	http://app.pillar.io/css/chunk-2eb7f08a.8bfdf550.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-2eb7f08a.8bfdf550.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:17	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:27%20GMT	http://app.pillar.io/css/chunk-31530d4f.4b65bff3.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-31530d4f.4b65bff3.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:17	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:27%20GMT	http://app.pillar.io/css/chunk-318fb4ed.e54896d6.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-318fb4ed.e54896d6.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:17	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:27%20GMT	http://app.pillar.io/css/chunk-38cb6780.102e8877.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-38cb6780.102e8877.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:18	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:28%20GMT	http://app.pillar.io/css/chunk-3a8573db.facf479f.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-3a8573db.facf479f.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:18	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:28%20GMT	http://app.pillar.io/css/chunk-3b093468.da58f304.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-3b093468.da58f304.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:18	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:28%20GMT	http://app.pillar.io/css/chunk-41b1f887.102e8877.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-41b1f887.102e8877.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:18	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:28%20GMT	http://app.pillar.io/css/chunk-4e6026e1.61fdf357.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-4e6026e1.61fdf357.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:19	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:28%20GMT	http://app.pillar.io/css/chunk-4f7a3cab.b66d7a8d.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-4f7a3cab.b66d7a8d.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:19	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:29%20GMT	http://app.pillar.io/css/chunk-55e8c34a.84b17e9e.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-55e8c34a.84b17e9e.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:19	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:29%20GMT	http://app.pillar.io/css/chunk-56303a17.013fd4bd.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-56303a17.013fd4bd.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:19	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:29%20GMT	http://app.pillar.io/css/chunk-56a47c11.866dba66.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-56a47c11.866dba66.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:19	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:29%20GMT	http://app.pillar.io/css/chunk-56ef6f13.c0d0bcd7.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-56ef6f13.c0d0bcd7.css	(from https://app.pillar.io/store/kingarthvr_)
